School Name,School ID,Public flag,School Type,SAU,SAU ID,County,Location,Mailing Street,Mailing City,Mailing Zip,Phone,Grade Low,Grade High,Contact,Contact Email
Lincoln Middle School,376,Public,Public,Portland Public Schools,364,Cumberland,Portland,522 Stevens AV,Portland,04103,(207) 874-8145,6,8,Marisa Ayala,ayalam@portlandschools.org
Lincoln School,35,Public,Public,Augusta Public Schools,28,Kennebec,Augusta,30 Lincoln Street,Augusta,04330,(207) 626-2483,KG,6,Heather Gauthier,hgauthier@augustaschools.org
Lincolnville Central School,265,Public,Public,Lincolnville Public Schools,264,Waldo,Lincolnville,523 Hope Road,Lincolnville,04849,(207) 763-3366,PK,8,Justin Bennett,justin.bennett@fivetowns.net
Line Elementary,890,Public,Public,RSU 57/MSAD 57,888,York,West Newfield,818 Water Street,West Newfield,04095,(207) 793-4100,PK,5,ANGELA SCULLY,angelascully@rsu57.org
Lisbon Community School,271,Public,Public,Lisbon Public Schools,266,Androscoggin,Lisbon,33 Mill Street,Lisbon,04250,(207) 353-4132,PK,5,Kristie Morin,kmorin@lisbonschoolsme.org
Lisbon High School,270,Public,Public,Lisbon Public Schools,266,Androscoggin,Lisbon Falls,2 Sugg Drive,Lisbon Falls,04252,(207) 353-3030,9,12,SUSAN MAGEE,smagee@lisbonschoolsme.org
Long Island Elementary School,388,Public,Public,Long Island Public Schools,387,Cumberland,Long Island,33 Fern Avenue,Long Island,04050,(207) 766-4414,KG,5,Dominic DePatsy,domdepatsy@longislandschool.net
Longfellow School-Portland,370,Public,Public,Portland Public Schools,364,Cumberland,Portland,432 Stevens AV,Portland,04103,(207) 874-8195,PK,5,Nicole Bradeen,braden@portlandschools.org
Loranger Memorial School,324,Public,Public,RSU 23,1461,York,Old Orchard Beach,148 Saco Avenue,Old Orchard Beach,04064,(207) 934-4848,3,8,Matthew Foster,mfoster@rsu23.org
Lubec Consolidated School,663,Public,Public,RSU 85/MSAD 19,662,Washington,Lubec,44 South Street,Lubec,04652,(207) 733-5561,PK,8,Lovina Wormell,twormell@yahoo.com
Lyman Elementary School,892,Public,Public,RSU 57/MSAD 57,888,York,Lyman,39 SchoolHouse Road,Lyman,04002,(207) 499-7228,PK,5,CINDY PELLERIN,cindypellerin@rsu57.org
Lyman Moore Middle School,377,Public,Public,Portland Public Schools,364,Cumberland,Portland,171 Auburn ST,Portland,04103,(207) 874-8150,6,8,BENJAMIN DONALDSON,donalb@portlandschools.org
Mabel I Wilson School,844,Public,Public,RSU 51/MSAD 51,839,Cumberland,Cumberland,353 Tuttle Road,Cumberland,04021,(207) 829-4825,PK,3,Cory Munsey,cmunsey@msad51.org
Machias Memorial High School,279,Public,Public,Machias Public Schools,277,Washington,Machias,1 Bulldog Lane,Machias,04654,(207) 255-3812,9,12,Nicole Case,ncase@mmhsbulldogs.org
Madawaska Elementary School,284,Public,Public,Madawaska Public Schools,282,Aroostook,Madawaska,353 Eleventh Avenue,Madawaska,04756,(207) 728-3635,PK,5,Christian Arnold,chrarn@madawaskaschools.org
Madawaska Middle/High School,283,Public,Public,Madawaska Public Schools,282,Aroostook,Madawaska,135 Seventh Avenue,Madawaska,04756,(207) 728-3371,6,12,WAYNE ANDERSON,waynea@madawaskaschools.org
Madison Elementary School,2204,Public,Public,RSU 59/MSAD 59,905,Somerset,Madison,43 Learners Lane,Madison,04950,(207) 696-4607,PK,2,SCOTT MITCHELL,scott.mitchell@msad59.org
Madison Jr/Sr High School,2202,Public,Public,RSU 59/MSAD 59,905,Somerset,Madison,486 Main Street,Madison,04950,(207) 696-3395,7,12,Jaime Ela,jaime.ela@msad59.org
Main Street Middle School,2203,Public,Public,RSU 59/MSAD 59,905,Somerset,Madison,205 Main Street,Madison,04950,(207) 696-3381,3,6,RYAN ARNOLD,ryan.arnold@msad59.org
Maine Academy of Natural Sciences,1502,Public,Charter,Maine Academy of Natural Sciences,1501,Somerset,Hinckley,PO Box 158,Hinckley,04944,(207) 238-4100,9,12,Matthew Newberg,mnewberg@maineacademy.org
Maine Arts Academy School,1766,Public,Charter,Maine Arts Academy,1762,Kennebec,Augusta,310 Cony Road,Augusta,04330,(207) 480-7917,9,12,Rachel Roberge,remrrill@maineartsacademy.org
Maine Connections Academy,1673,Public,Charter,Maine Connections Academy,1672,Cumberland,Scarborough,8 Science Park Road Floor 3,Scarborough,04074,(207) 805-3254,7,12,WALTER WALLACE,wwallace@mca.connectionsacademy.org
Maine Region Ten Technical High Sch,1028,Public,Technology Region,Brunswick-Region 10,1027,Cumberland,Brunswick,68 Church Road,Brunswick,04011,(207) 729-6622,9,12,SHAWN CHABOT,chabot@r10tech.org
Maine Virtual Academy,1715,Public,Charter,Maine Virtual Academy,1739,Kennebec,Augusta,"6 East Chestnut St., Suite 230",Augusta,04330,(207) 613-8900,7,12,Melinda Browne,mbrowne@mainevirtualacademy.org
Manchester Elementary School,288,Public,Public,RSU 38,1467,Kennebec,Manchester,17 School St.,Manchester,04351,(207) 622-2949,PK,5,Abigail Hartford,abbie_hartford@maranacook.com
Manchester School,512,Public,Public,RSU 14,1455,Cumberland,Windham,709 Roosevelt Trail,Windham,04062,(207) 892-1830,4,5,Danielle Donnini,ddonnini@rsu14.org
Manson Park School,856,Public,Public,RSU 53/MSAD 53,854,Somerset,Pittsfield,179 Lancey Street,Pittsfield,04967,(207) 487-2881,PK,KG,SHARON LITTLEFIELD,slittlefield@msad53.org
Mapleton Elementary School,552,Public,Public,RSU 79/MSAD 01,551,Aroostook,Mapleton,1642 Main Street,Mapleton,04757,(207) 764-1589,PK,5,DANIEL DUPREY,dupreyd@sad1.org
Maranacook Community High Sch,1043,Public,Public,RSU 38,1467,Kennebec,Readfield,2250 Millard Harrison Drive,Readfield,04355,(207) 685-4923,9,12,Michele LaForge,michele_laforge@maranacook.com
Maranacook Community Middle Sch,1044,Public,Public,RSU 38,1467,Kennebec,Readfield,2100 Millard Harrison Drive,Readfield,04355,(207) 685-3128,6,8,Richard Sirois,Rick_sirois@maranacook.com
Marcia Buker School,402,Public,Public,Richmond Public Schools,2195,Sagadahoc,Richmond,28 High Street,Richmond,04357,(207) 737-4748,PK,5,Mary Paine,mpaine@richmondpk12.org
Margaret Chase Smith,2083,Public,Public,Sanford Public Schools,416,York,Sanford,248 Twombley Rd,Sanford,04073,(207) 324-7586,PK,4,Tracie Hallissey,thallissey@sanford.org
Margaret Chase Smith Sch - Skowhegan,868,Public,Public,RSU 54/MSAD 54,860,Somerset,Skowhegan,40 Heselton Street,Skowhegan,04976,(207) 474-9822,4,5,Christy Johnson,cjohnson@msad54.org
Marshwood Great Works School,747,Public,Public,RSU 35/MSAD 35,743,York,South Berwick,49 Academy Street,South Berwick,03908,(207) 384-4010,4,5,Gerald Burnell,gerald.burnell@rsu35.org
Marshwood High School,748,Public,Public,RSU 35/MSAD 35,743,York,South Berwick,260 Dow Highway,South Berwick,03908,(207) 384-4500,9,12,Bernard Hoogterp,bernard.hoogterp@rsu35.org
Marshwood Middle School,745,Public,Public,RSU 35/MSAD 35,743,York,Eliot,626 Dow Highway,Eliot,03903,(207) 439-1399,6,8,Christine Goulet,christine.goulet@rsu35.org
Mary Snow School,46,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,435 Broadway,Bangor,04401,(207) 941-6290,4,5,Daniel Chadbourne,dchadbourne@bangorschools.net
Massabesic High School,894,Public,Public,RSU 57/MSAD 57,888,York,Waterboro,88 West Road,Waterboro,04087,(207) 247-3141,9,12,TY THURLOW,tythurlow@rsu57.org
Massabesic Middle School,897,Public,Public,RSU 57/MSAD 57,888,York,East Waterboro,134 Old Alfred Road,East Waterboro,04030,(207) 247-6121,6,8,KELLY GRANTHAM,kellygrantham@rsu57.org
Mast Landing School,187,Public,Public,RSU 05,1449,Cumberland,Freeport,20 Mollymauk Lane,Freeport,04032,(207) 865-4561,3,5,Emily Grimm,grimme@rsu5.org
Matinicus Elementary School,945,Public,Public,RSU 65/MSAD 65,944,Knox,Matinicus Isle Plantation,PO Box 194,Matinicus Isle Plantation,04851,(207) 366-3526,KG,8,Peter Gallace,petegallace@gmail.com
Mattanawcook Academy,948,Public,Public,RSU 67,1469,Penobscot,Lincoln,33 Reed Drive,Lincoln,04457,(207) 794-6711,9,12,MATTHEW ARSENAULT,marsenault@rsu67.org
Mattanawcook Jr High School,949,Public,Public,RSU 67,1469,Penobscot,Lincoln,45 School Street,Lincoln,04457,(207) 794-8935,4,8,SARAH HAINER,shainer@rsu67.org
MDOE School,1437,Public,State Operated,Maine Department of Education,1436,Kennebec,Augusta,23 SHS,Augusta,04330,(207) 624-6809,PK,12,KIMBERLY HALL,kimberly.a.hall@maine.gov
ME Sch of Science & Mathematics,1068,Public,Magnet,ME Sch of Science & Mathematics,1067,Aroostook,Limestone,95 High Street,Limestone,04750,(207) 325-3600,9,12,Robert Constantine,constantiner@mssm.org
Medomak Middle School,773,Public,Public,RSU 40/MSAD 40,765,Lincoln,Waldoboro,318 Manktown Road,Waldoboro,04572,(207) 832-5028,7,8,Michael Harris,michael_harris@msad40.org
Medomak Valley High School,770,Public,Public,RSU 40/MSAD 40,765,Lincoln,Waldoboro,320 Manktown Road,Waldoboro,04572,(207) 832-5380,9,12,Linda Pease,linda_pease@msad40.org
Medway Middle School,295,Public,Public,Medway Public Schools,294,Penobscot,Medway,25 Middle School Drive,Medway,04460,(207) 746-3470,5,8,ALYSSA DICKINSON,adickinson@medwayms.org
Memorial School,639,Public,Public,RSU 15/MSAD 15,635,Cumberland,New Gloucester,86 Intervale Road,New Gloucester,04260,(207) 926-4322,KG,2,Amanda Hennessey,ahennessey@sad15.org
Meroby Elementary School,785,Public,Public,RSU 10,1450,Oxford,Mexico,21 Cross Street,Mexico,04257,(207) 364-3714,PK,4,Jodi Ellis,jellis@rsu10.org
Messalonskee High School,811,Public,Public,RSU 18,1457,Kennebec,Oakland,131 Messalonskee High Drive,Oakland,04963,(207) 465-7381,9,12,Scott Hallett,shallett@rsu18.org
Messalonskee Middle School,813,Public,Public,RSU 18,1457,Kennebec,Oakland,33 School Bus Drive,Oakland,04963,(207) 465-2167,6,8,Samuel Dunbar,sdunbar@rsu18.org
Mid-Coast Sch of Tech-Region 8,1024,Public,Technology Region,Rockland-Region 8,1023,Knox,Rockland,One Main Street,Rockland,04841,(207) 594-2161,9,12,Robert Deetjen,rdeetjen@mcst8.org
Middle School of the Kennebunks,966,Public,Public,RSU 21,1460,York,Kennebunk,60 Thompson Road,Kennebunk,04043,(207) 467-8004,6,8,MARTIN BOUCHARD,mbouchard@rsu21.net
Mid-Maine Technical Center,485,Public,Technology Center,Waterville Public Schools,480,Kennebec,Waterville,3 Brooklyn Avenue,Waterville,04901,(207) 873-0102,9,12,PETER HALLEN,phallen@aos92.org
Milbridge Elementary School,759,Public,Public,RSU 37/MSAD 37,753,Washington,Milbridge,39 Washington Street,Milbridge,04658,(207) 546-2210,PK,6,CAROL LISEE,clisee@msad37.org
Mildred L Day School,13,Public,Public,RSU 21,1460,York,Arundel,600 Limerick Road,Arundel,04046,(207) 284-4677,KG,5,Gail Breslin-Keith,gkeith@rsu21.net
Miles Lane School,106,Public,Public,RSU 25,1464,Hancock,Bucksport,52 Miles Ln,Bucksport,04416,(207) 469-6666,1,4,DARCY DAKIN,DARCY.DAKIN@RSU25.ORG
Mill Pond School,958,Public,Public,RSU 70/MSAD 70,957,Aroostook,Hodgdon,175 Hodgdon Mills Road,Hodgdon,04730,(207) 532-9228,PK,6,MATTHEW OLIVER,matthewoliver@msad70.org
Mill Stream Elementary School,873,Public,Public,RSU 54/MSAD 54,860,Somerset,Norridgewock,26 Mercer Road,Norridgewock,04957,(207) 634-3121,PK,5,ROBERT RODRIGUE,rrodrigue@msad54.org
Miller School,768,Public,Public,RSU 40/MSAD 40,765,Lincoln,Waldoboro,145 Kalers Corner Road,Waldoboro,04572,(207) 832-2103,PK,6,Julia Levensaler,julia_levensaler@msad40.org
Milo Elementary School,1960,Public,Public,RSU 41/MSAD 41,774,Piscataquis,Milo,18 Belmont Street,Milo,04463,(207) 943-2122,PK,2,CAROL SMITH,csmith@msad41.us
Minot Consolidated School,303,Public,Public,RSU 16,1456,Androscoggin,Minot,23 Shaw Hill Road,Minot,04258,(207) 346-6471,PK,6,KAITLYNN BROWN,kbrown@rsu16.org
Molly Ockett School,1953,Public,Public,RSU 72/MSAD 72,969,Oxford,Fryeburg,25 Molly Ockett Drive,Fryeburg,04037,(207) 935-2401,PK,8,Matthew Lokken,matthew.lokken@msad72.org
Monhegan School,305,Public,Public,Monhegan Plt School Dept,304,Lincoln,Monhegan Plantation,PO Box 8,Monhegan Plantation,04852,(207) 594-5895,PK,8,Tonya Arnold,supermonhegan@gmail.com
Monmouth Academy,308,Public,Public,RSU 02,1445,Kennebec,Monmouth,96 Academy Road,Monmouth,04259,(207) 933-4416,9,12,Erik Gray,egray@kidsrsu.org
Monmouth Memorial School,2075,Public,Public,RSU 02,1445,Kennebec,Monmouth,130 Academy Rd,Monmouth,04259,(207) 933-9002,PK,8,Melissa Burnham Barter,mbarter@kidsrsu.org
Monroe Elementary School,564,Public,Public,RSU 03/MSAD 03,561,Waldo,Monroe,36 West Main Street,Monroe,04951,(207) 525-3504,PK,5,LISA ROUX,lroux@rsu3.org
Montello School,254,Public,Public,Lewiston Public Schools,250,Androscoggin,Lewiston,407 East Avenue,Lewiston,04240,(207) 795-4150,PK,6,TIFFANY Sax,Tsax@LEWISTONPUBLICSCHOOLS.ORG
Morse High School,60,Public,Public,RSU 01 - LKRSU,1438,Sagadahoc,Bath,826 Shipbuilder Drive,Bath,04530,(207) 443-8250,9,12,Eric Varney,evarney@rsu1.org
Morse Memorial School,562,Public,Public,RSU 03/MSAD 03,561,Waldo,Brooks,27 School Street,Brooks,04921,(207) 722-3636,PK,5,LISA ROUX,lroux@rsu3.org
Morse Street School,184,Public,Public,RSU 05,1449,Cumberland,Freeport,21 Morse Street,Freeport,04032,(207) 865-6361,PK,2,Julie Nickerson,nickersonj@rsu5.org
Moscow Elementary,1973,Public,Public,RSU 83/MSAD 13,628,Somerset,Bingham,PO Box 649,Bingham,04920,(207) 672-5572,PK,4,WENDY-ANN BELANGER,wendy.belanger@sad13.org
Mountain Valley High School,787,Public,Public,RSU 10,1450,Oxford,Rumford,799 Hancock Street,Rumford,04276,(207) 364-4547,9,12,Thomas Danylik,tdanylik@rsu10.org
Mountain Valley Middle School,784,Public,Public,RSU 10,1450,Oxford,Mexico,58 Highland Terrace,Mexico,04257,(207) 364-7926,5,8,CAROLYN LUCE,cluce@rsu10.org
Mountain View Sch,2139,Public,Public,RSU 24,1462,Hancock,Sullivan,542 Bert Gray Road,Sullivan,04664,(207) 422-3200,PK,5,Brenda Jordan,bjordan@rsu24.org
Mt Abram Regional High School,904,Public,Public,RSU 58/MSAD 58,898,Franklin,Salem,1513 Salem Road,Salem,04983,(207) 678-2701,9,12,Timothy Richards,TRICHARDS@MSAD58.ORG
Mt Ararat High School,991,Public,Public,RSU 75/MSAD 75,984,Sagadahoc,Topsham,68 Eagles Way,Topsham,04086,(207) 729-2951,9,12,Christopher Hoffman,hoffmanc@link75.org
Mt Ararat Middle School,993,Public,Public,RSU 75/MSAD 75,984,Sagadahoc,Topsham,66 Republic Avenue,Topsham,04086,(207) 729-2950,6,8,Megan Teague,hayesteaguem@link75.org
Mt Blue High School,609,Public,Public,RSU 09,1508,Franklin,Farmington,129 Seamon Rd,Farmington,04938,(207) 778-3561,9,12,JOEL SMITH,jsmith@mtbluersd.org
Mt Blue Middle School,608,Public,Public,RSU 09,1508,Franklin,Farmington,269 Middle St,Farmington,04938,(207) 778-3511,6,8,JAMES BLACK,jblack@mtbluersd.org
Mt Desert Elementary School,312,Public,Public,Mount Desert Public Schools,311,Hancock,Northeast Harbor,PO Box 308,Northeast Harbor,04662,(207) 276-3348,PK,8,Heather Dorr,hdorr@mdirss.org
Mt Desert Island High School,1037,Public,Public,Mt Desert CSD,1036,Hancock,Bar Harbor,PO Box 180,Mount Desert,04660,(207) 288-5011,9,12,MATTHEW HANEY,mhaney@mdirss.org
Mt Jefferson Jr High School,714,Public,Public,RSU 30/MSAD 30,713,Penobscot,Lee,61 Winn Road,Lee,04455,(207) 290-4996,5,8,FREDY LAZO,flazo@msad30.org
Mt Vernon Elementary School,314,Public,Public,RSU 38,1467,Kennebec,Mount Vernon,1507 North Road,Mount Vernon,04352,(207) 293-2261,PK,5,Michelle Hood,michelle_hood@maranacook.com
Mt View Elementary School,568,Public,Public,RSU 03/MSAD 03,561,Waldo,Thorndike,573 Mount View Road,Thorndike,04986,(207) 568-7541,KG,5,ALICIA MCCORMICK,amccormick@rsu3.org
Mt View High School,567,Public,Public,RSU 03/MSAD 03,561,Waldo,Thorndike,577 Mount View Road,Thorndike,04986,(207) 568-3255,9,12,Thomas Gray,tgray@rsu3.org
Mt View Middle School,569,Public,Public,RSU 03/MSAD 03,561,Waldo,Thorndike,575 Mount View Road,Thorndike,04986,(207) 568-7561,6,8,Maria Brown,mbrown@rsu3.org
Narragansett Elementary School,200,Public,Public,Gorham Public Schools,194,Cumberland,Gorham,284 Main Street,Gorham,04038,(207) 222-1250,PK,5,Erin Eppler,erin.eppler@gorhamschools.org
Narraguagus High School,757,Public,Public,RSU 37/MSAD 37,753,Washington,Harrington,1611 Main Street,Harrington,04643,(207) 483-2746,7,12,Todd Emerson,temerson@msad37.org
New Suncook School,975,Public,Public,RSU 72/MSAD 72,969,Oxford,Lovell,95 Main Street,Lovell,04051,(207) 925-6711,PK,4,Jay Robinson,jay.robinson@msad72.org
Newburgh Elementary School,678,Public,Public,RSU 22,1615,Penobscot,Newburgh,2220 Western Avenue,Newburgh,04444,(207) 234-2781,PK,PK,DAWN MOORE,dmoore@rsu22.us
No Penobscot Tech-Region 3,1022,Public,Technology Region,Lincoln-Region 3,1021,Penobscot,Lincoln,35 West Broadway,Lincoln,04457,(207) 794-3004,9,12,CURT RING,cring@nptregioniii.com
Noble High School,920,Public,Public,RSU 60/MSAD 60,913,York,North Berwick,100 Noble Way,North Berwick,03906,(207) 284-3000,8,12,Roland Dufort III,aj.dufort@msad60.org
Noble Middle School,915,Public,Public,RSU 60/MSAD 60,913,York,Berwick,46 Cranberry Meadow Road,Berwick,03901,(207) 698-1320,6,7,Michael Archambault,michael.archambault@msad60.org
Nobleboro Central School,320,Public,Public,Nobleboro Public Schools,319,Lincoln,Nobleboro,767 Main St. Suite 2,Damariscotta,04543,(207) 563-3437,KG,8,Adam Bullard,abullard@aos93.org
Nokomis Regional High School,822,Public,Public,RSU 19,1458,Penobscot,Newport,"291 Williams Road, Suite 2",Newport,04953,(207) 368-4354,9,12,Mary Nadeau,mnadeau@rsu19.org
Nokomis Regional Middle School,2047,Public,Public,RSU 19,1458,Penobscot,Newport,"291 Williams Road, Suite 1",Newport,04953,(207) 355-3600,5,8,DAVID PAGE,dpage@rsu19.net
Non-Maine Public School,2070,Public,Public,Non-Maine Public SAU,2084,Kennebec,Augusta,23 State House Station,Augusta,04330,(207) 624-6809,PK,12,KIMBERLY HALL,kimberly.a.hall@maine.gov
North Berwick Elementary School,919,Public,Public,RSU 60/MSAD 60,913,York,North Berwick,25 Varney Road,North Berwick,03906,(207) 676-9811,KG,4,Elizabeth Jolly,elizabeth.jolly@msad60.org
North Elementary School,865,Public,Public,RSU 54/MSAD 54,860,Somerset,Skowhegan,33 Jewett Street,Skowhegan,04976,(207) 474-2907,PK,KG,Christy Johnson,cjohnson@msad54.org
North Haven Community School,602,Public,Public,RSU 07/MSAD 07,601,Knox,North Haven,93 Pulpit Harbor Road,North Haven,04853,(207) 867-4707,KG,12,Shaun Johnson,sjohnson@nhcshawks.org
Oak Hill High School,1057,Public,Public,RSU 04,1446,Androscoggin,Wales,PO Box 400,Wales,04280,(207) 375-4950,9,12,Marco Aliberti,marco.aliberti@rsu4.org
Oak Hill Middle School,1447,Public,Public,RSU 04,1446,Androscoggin,Sabattus,40 Ball Park Road,Sabattus,04280,(207) 375-6961,5,8,AMY ST. PIERRE,amy.stpierre@rsu4.org
Ocean Avenue,386,Public,Public,Portland Public Schools,364,Cumberland,Portland,150 Ocean AV,Portland,04103,(207) 874-8180,KG,5,Beverly Stevens,steveb@portlandschools.org
Oceanside High School,1768,Public,Public,RSU 13,1452,Knox,Rockland,400 Broadway,Rockland,04841,(207) 596-2010,9,12,Jesse Bartke,jbartke@rsu13.org
Oceanside Middle School,1767,Public,Public,RSU 13,1452,Knox,Thomaston,47 Valley Street,Thomaston,04861,(207) 354-2502,6,8,SHELBY BIDDY,shelbybiddy@gmail.com
Old Orchard Beach High School,325,Public,Public,RSU 23,1461,York,Old Orchard Beach,40 E Emerson Cummings Blvd,Old Orchard Beach,04064,(207) 934-4461,9,12,Michael Rodriguez,mrodriguez@rsu23.org
Old Town Elementary School,333,Public,Public,RSU 34,1466,Penobscot,Old Town,576 Stillwater Avenue,Old Town,04468,(207) 827-1544,PK,5,Jeanna Tuell,jeanna.tuell@rsu34.org
Old Town High School,332,Public,Public,RSU 34,1466,Penobscot,Old Town,203 Stillwater Avenue,Old Town,04468,(207) 827-3910,9,12,Scott Gordon,scott.gordon@rsu34.org
Opal Myrick Elementary School,158,Public,Public,East Millinocket Public Schools,157,Penobscot,East Millinocket,45 North St Suite 1,East Millinocket,04430,(207) 746-3511,PK,4,JUSTIN PAGE,jpage@emmm.org
Orono High School,340,Public,Public,RSU 26,1465,Penobscot,Orono,14 Goodridge Drive,Orono,04473,(207) 866-4916,9,12,Samantha Runco,srunco@rsu26.org
Orono Middle School,341,Public,Public,RSU 26,1465,Penobscot,Orono,14 Goodridge Drive,Orono,04473,(207) 866-2350,6,8,Richard Glencross,rglencross@rsu26.org
Otisfield Community School,651,Public,Public,RSU 17/MSAD 17,646,Oxford,Otisfield,416 Powhattan Road,Otisfield,04270,(207) 627-4208,PK,6,Jessika Sheldrick,j.sheldrick@msad17.org
Overman Academy,1828,Public,Charter,Community Regional Charter School,1510,Somerset,Skowhegan,48 South Factory Street,Skowhegan,04976,(207) 858-1600,6,12,Elizabeth Firnkes,efirnkes@crcsme.org
Oxford Elementary School,652,Public,Public,RSU 17/MSAD 17,646,Oxford,Oxford,PO Box 839,Oxford,04270,(207) 539-4456,PK,6,Jamey Martin,j.martin@msad17.org
Oxford Hills Comprehensive H S,656,Public,Public,RSU 17/MSAD 17,646,Oxford,Paris,256 Main Street,Paris,04271,(207) 743-8914,9,12,Paul Bickford,p.bickford@msad17.org
Oxford Hills Middle School,655,Public,Public,RSU 17/MSAD 17,646,Oxford,Paris,100 Pine Street,Paris,04271,(207) 743-5946,7,8,Jessica McGreevy,j.mcgreevy@msad17.org
Oxford Hills Tech - Region 11,1030,Public,Technology Region,Oxford-Region 11,1029,Oxford,South Paris,PO Box 313,Norway,04268,(207) 743-7756,9,12,RANDOLPH CROCKETT,r.crockett@msad17.org
Oxford-Cumberland Canal School,500,Public,Public,Westbrook Public Schools,495,Cumberland,Westbrook,102 Glenwood Avenue,Westbrook,04092,(207) 854-0840,KG,4,Vickie Hebert,hebertv@westbrookschools.org
Palermo Consolidated School,348,Public,Public,RSU 12,1451,Waldo,Palermo,501 Route 3,Palermo,04354,(207) 993-2352,KG,8,STEPHANIE OLIPHANT,soliphant@svrsu.org
Paris Elementary School,660,Public,Public,RSU 17/MSAD 17,646,Oxford,Paris,4 Hathaway Road,Paris,04271,(207) 743-7802,PK,6,Lorrence Pacholski,l.pacholski@msad17.org
Park Avenue Elementary School,27,Public,Public,Auburn Public Schools,14,Androscoggin,Auburn,161 Park Avenue,Auburn,04210,(207) 333-6657,PK,6,Stephanie Marris,smarris@auburnschl.edu
Patricia A Duran School,220,Public,Public,Hermon Public Schools,219,Penobscot,Hermon,235 Billings Road,Hermon,04401,(207) 848-4081,PK,4,Melissa Davis,melissa.davis@schools.hermon.net
Peaks Island School,371,Public,Public,Portland Public Schools,364,Cumberland,Peaks Island,4 Church AV,Peaks Island,04108,(207) 766-2528,PK,5,Ryan Scallon,Scallr@portlandschools.org
Pembroke Elementary School,350,Public,Public,Pembroke Public Schools,349,Washington,Pembroke,36 US Route 1,Pembroke,04666,(207) 726-5564,PK,8,Deborah Jamieson,dmj_04666@yahoo.com
Pemetic Elementary School,457,Public,Public,Southwest Harbor Public Schools,456,Hancock,Southwest Harbor,PO Box 255,Southwest Harbor,04679,(207) 244-5502,PK,8,Christine Gray,christine.gray@mdirss.org
Peninsula Sch,2140,Public,Public,RSU 24,1462,Hancock,Prospect Harbor,PO Box 230,Prospect Harbor,04669,(207) 963-2003,PK,5,Matthew Houghton,mhoughton@rsu24.org
Penobscot Elementary School,352,Public,Public,Penobscot Public Schools,351,Hancock,Penobscot,66 North Penobscot Road,Penobscot,04476,(207) 326-9421,PK,8,Michael Corbin,jcorbin@penobscotschool.org
Penobscot Valley High School,720,Public,Public,RSU 31/MSAD 31,718,Penobscot,Howland,23 Cross Street,Howland,04448,(207) 732-3111,9,12,SHANE YARDLEY,shane.yardley@sau31.org
Penquis Valley Middle/High School,778,Public,Public,RSU 41/MSAD 41,774,Piscataquis,Milo,48 Penquis Drive,Milo,04463,(207) 943-7346,5,12,JOHN DOW,jdow@msad41.us
Perry Elementary School,354,Public,Public,Perry Public Schools,353,Washington,Perry,1587 U. S. Route 1,Perry,04667,(207) 853-2522,PK,8,Penny Johnson,penny.johnson@perryelementary.org
Philip W Sugg Middle School,269,Public,Public,Lisbon Public Schools,266,Androscoggin,Lisbon Falls,4 Sugg Drive,Lisbon Falls,04252,(207) 353-3055,6,8,Ryan McKenney,rmckenney@lisbonschoolsme.org
Phillips Elementary Sch,2142,Public,Public,RSU 58/MSAD 58,898,Franklin,Phillips,1401 Rangeley Road,Phillips,04966,(207) 639-2909,PK,4,JEFFERY PILLSBURY,JPILLSBURY@MSAD58.ORG
Phippsburg Elementary School,358,Public,Public,RSU 01 - LKRSU,1438,Sagadahoc,Phippsburg,1047 Main Road,Phippsburg,04562,(207) 389-1514,PK,5,Sandra Gorsuch-Plummer,sgorsuch-plummer@rsu1.org
Pine Street Elementary School,553,Public,Public,RSU 79/MSAD 01,551,Aroostook,Presque Isle,50 Pine Street,Presque Isle,04769,(207) 764-8104,PK,2,WILLIAM GUERRETTE,guerrettew@sad1.org
Piscataquis Community Elementary,1977,Public,Public,RSU 80/MSAD 04,570,Piscataquis,Guilford,25 Campus Drive,Guilford,04443,(207) 876-4301,PK,6,Anita Wright,awright@sad4.org
Piscataquis Community Secondary School,2098,Public,Public,RSU 80/MSAD 04,570,Piscataquis,Guilford,9 Campus Drive,Guilford,04443,(207) 876-4625,7,12,JOHN KEANE,jkeane@sad4.org
Pittston-Randolph Consolidated School,623,Public,Public,RSU 11/MSAD 11,617,Kennebec,Pittston,1023 Pittston School Street,Pittston,04345,(207) 582-6268,KG,5,Tiffany Cockrell,tcockrell@msad11.org
Pleasant Hill School,429,Public,Public,Scarborough Public Schools,427,Cumberland,Scarborough,143 Highland Avenue,Scarborough,04074,(207) 730-5250,KG,2,JENNIFER HUMPHREY,jhumphrey@scarboroughschools.org
Poland Community School,361,Public,Public,RSU 16,1456,Androscoggin,Poland,1250 Maine Street,Poland,04274,(207) 998-4915,PK,6,BRANDI COMEAU,bcomeau@rsu16.org
Poland Regional H S,362,Public,Public,RSU 16,1456,Androscoggin,Poland,1457 Maine Street,Poland,04274,(207) 998-5400,9,12,ERIK ANDERSON,eanderson@rsu16.org
Pond Cove Elementary,114,Public,Public,Cape Elizabeth Public Schools,113,Cumberland,Cape Elizabeth,12 Scott Dyer Road,Cape Elizabeth,04107,(207) 799-7339,PK,4,Tiffany Karnes,tkarnes@capeelizabethschools.org
